,ID,SMILES
0,pubchem:3303,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
1,pubchem:3304,CC(=O)OC1CCC2C3CCC4(C(C3CCC2=C1)CCC4(C#C)OC(=O)C)C
2,pubchem:3305,CC(O)(P(=O)(O)O)P(=O)(O)O
3,pubchem:3306,CCNCC(C1=CC(=CC=C1)O)O
4,pubchem:3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C
5,pubchem:3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
6,pubchem:3309,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4
7,pubchem:3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
8,pubchem:3311,CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N
9,pubchem:3312,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C
10,pubchem:3313,CC1C(CCC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O
11,pubchem:3314,COC1=C(C=CC(=C1)CC=C)O
12,pubchem:3315,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)O)S(=O)(=O)O)O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)O)S(=O)(=O)O)O
13,pubchem:3316,CCCCCCOC1=CC=CC=C1C(=O)N
14,pubchem:3317,CCCCC=CC=CCC(=O)OC12CC(C3(C(C1C2(C)C)C=C(CC4(C3C=C(C4=O)C)O)CO)O)C
15,pubchem:3318,CCCCCC=CCC=CCC=CCC=CCCC(C)C(=O)NCCF
16,pubchem:3319,CC12CC(=O)NC13CC4C(C(C(=N4)CC5=C(C6=C([N-]5)C(=C7C(C(C(=CC(C2CCC(=O)O)[N-]3)[N-]7)CC(=O)O)CCC(=O)O)C(=O)CC6)CC(=O)O)(C)CC(=O)N)CCC(=O)O.[Ni+3]
17,pubchem:3320,CC12CC(=O)NC13CC4C(C(C(=N4)CC5=C(C6=C(N5)C(=C7C(C(C(=CC(C2CCC(=O)O)N3)N7)CC(=O)O)CCC(=O)O)C(=O)CC6)CC(=O)O)(C)CC(=O)N)CCC(=O)O
18,pubchem:3321,CCCCCCCC=CC(C#CC#CC(C=C)O)O
19,pubchem:3322,CCCCCCCC=CCC#CC#CC(C=C)O
20,pubchem:3323,CC(CCCC(C(F)(F)F)(C(F)(F)F)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
21,pubchem:3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
22,pubchem:3325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
23,pubchem:3326,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
24,pubchem:3327,CC(=CCCC(=CCCC(=CCO)C)C)C
25,pubchem:3328,CC(=CCCC(=CCCC(=CCSCC(=O)O)C)C)C
26,pubchem:3329,CC(C1C2N(C1=O)C(=C(S2)C3CCCO3)C(=O)O)O
27,pubchem:3330,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F
28,pubchem:3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
29,pubchem:3332,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O
30,pubchem:3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
31,pubchem:3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
32,pubchem:3335,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O
33,pubchem:3336,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
34,pubchem:3337,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
35,pubchem:3338,CCCCC(C1=CC=CC=C1)O
36,pubchem:3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
37,pubchem:3340,C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
38,pubchem:3341,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
39,pubchem:3342,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
40,pubchem:3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
41,pubchem:3344,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
42,pubchem:3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
43,pubchem:3346,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
44,pubchem:3347,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
45,pubchem:3348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
46,pubchem:3349,C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N
47,pubchem:3350,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
48,pubchem:3351,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl
49,pubchem:3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
50,pubchem:3353,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CCOC(=O)NCC4=CC=CC=C4)O)C)C(=CC5CCC(C(C5)OC)O)C)O)C)OC)OC
51,pubchem:3354,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
52,pubchem:3355,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
53,pubchem:3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
54,pubchem:3357,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
55,pubchem:3358,COC1=CC2=C(C=C1)NC3=C2C4=C(C=C3)C=C[N+](=C4)CC[NH2+]CCCCCC[NH2+]CC[N+]5=CC6=C(C=CC7=C6C8=C(N7)C=CC(=C8)OC)C=C5
56,pubchem:3359,COC1=CC2=C(C=C1)NC3=C2C4=C(C=C3)C=C[N+](=C4)CCNCCCCCCNCC[N+]5=CC6=C(C=CC7=C6C8=C(N7)C=CC(=C8)OC)C=C5
57,pubchem:3360,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F
58,pubchem:3361,COC1(C2N(C1=O)C(=C(CO2)CSC3=NN=NN3CCO)C(=O)O)NC(=O)CSCF
